      xlow   xupp    ylow    yupp        content      error
322   2.00   2.25   150.0   200.0   2.202643e-02   0.004957
323   2.00   2.25   200.0   300.0   3.585982e-02   0.004937
324   2.00   2.25   300.0   500.0   5.669014e-02   0.004155
325   2.25   2.50    10.0    15.0   0.000000e+00   0.000000
326   2.25   2.50    15.0    20.0   0.000000e+00   0.000000
327   2.25   2.50    20.0    25.0   0.000000e+00   0.000000
328   2.25   2.50    25.0    30.0   0.000000e+00   0.000000
329   2.25   2.50    30.0    35.0   8.343265e-03   0.001993
330   2.25   2.50    35.0    40.0   1.825293e-02   0.004129
331   2.25   2.50    40.0    50.0   1.354784e-02   0.002679
332   2.25   2.50    50.0    70.0   1.761103e-02   0.003088
333   2.25   2.50    70.0   100.0   4.368932e-02   0.006718
334   2.25   2.50   100.0   150.0   7.925408e-02   0.008951
335   2.25   2.50   150.0   200.0   1.463047e-01   0.013528
336   2.25   2.50   200.0   300.0   2.034413e-01   0.012688
337   2.25   2.50   300.0   500.0   2.620424e-01   0.011075
338   2.50   2.75    10.0    15.0   0.000000e+00   0.000000
339   2.50   2.75    15.0    20.0   0.000000e+00   0.000000
340   2.50   2.75    20.0    25.0   0.000000e+00   0.000000
341   2.50   2.75    25.0    30.0   0.000000e+00   0.000000
342   2.50   2.75    30.0    35.0   7.203667e-03   0.001200
343   2.50   2.75    35.0    40.0   1.073910e-02   0.001899
344   2.50   2.75    40.0    50.0   1.614699e-02   0.002477
345   2.50   2.75    50.0    70.0   1.636569e-02   0.002518
346   2.50   2.75    70.0   100.0   2.681564e-02   0.004883
347   2.50   2.75   100.0   150.0   6.611570e-02   0.008231
348   2.50   2.75   150.0   200.0   1.431095e-01   0.014502
349   2.50   2.75   200.0   300.0   2.891738e-01   0.017023
350   2.50   2.75   300.0   500.0   4.436718e-01   0.018506
351   2.75   3.00    10.0    15.0   0.000000e+00   0.000000
352   2.75   3.00    15.0    20.0   0.000000e+00   0.000000
353   2.75   3.00    20.0    25.0   0.000000e+00   0.000000
354   2.75   3.00    25.0    30.0   0.000000e+00   0.000000
355   2.75   3.00    30.0    35.0   1.397206e-02   0.002432
356   2.75   3.00    35.0    40.0   6.437768e-03   0.001013
357   2.75   3.00    40.0    50.0   8.917955e-03   0.001523
358   2.75   3.00    50.0    70.0   8.566978e-03   0.001664
359   2.75   3.00    70.0   100.0   2.447552e-02   0.005778
360   2.75   3.00   100.0   150.0   8.597285e-02   0.012975
361   2.75   3.00   150.0   200.0   2.191781e-01   0.027722
362   2.75   3.00   200.0   300.0   3.488372e-01   0.029571
